zip_code,value,prediction
14065,9.651,0
14739,-999.0,0
13069,7750.532,0
12071,-999.0,0
12071,-999.0,0
12072,739.986,0
12072,838.667,0
14066,-999.0,0
12074,192.101,0
12074,235.688,0
12831,3289.98,0
14067,467.155,0
14454,1474.014,0
12526,-999.0,0
14740,198.031,0
14740,223.794,0
12075,-999.0,0
13343,-999.0,0
12077,2178.727,0
12801,9172.163,0
14070,-999.0,0
14070,87.026,0
14070,89.141,0
14072,6781.908,0
13345,-999.0,0
14462,-999.0,0
12835,145.986,0
12835,96.998,0
12836,58.034,0
14075,783.488,0
14464,688.618,0
14464,644.825,0
12837,7.433,0
12837,13.643,0
12837,5.498,0
13074,510.128,0
13648,360.35,0
